,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive_shots,PassDead,Drib_shots,shots_lead_shots,Def_shots,GCA,GCA90,PassLive_goals,Drib_goals,shots_lead_goals,Def_goals,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Top_Team,Strikers
0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,32.0,46.0,1.44,34.0,3.0,2.0,3.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,34,32,2881,0,2,0,0,0,8,0,0,0
1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,33.1,22.0,0.66,17.0,0.0,2.0,1.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,34,34,2983,2,0,2,0,0,5,1,0,0
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,27.4,50.0,1.83,41.0,0.0,0.0,4.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,31,29,2462,1,0,1,0,0,12,3,0,0
3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,32.8,83.0,2.53,67.0,2.0,3.0,1.0,3.0,9.0,0.27,8.0,0.0,0.0,0.0,34,34,2956,0,2,0,0,0,9,0,0,0
4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,0.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,45,0,0,0,0,0,0,0,0,1
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,8.1,15.0,1.85,10.0,0.0,0.0,2.0,1.0,2.0,0.25,1.0,0.0,1.0,0.0,24,5,726,0,1,0,0,0,3,0,0,1
6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,103,0,0,0,0,0,0,0,0,1
7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,34.3,94.0,2.74,62.0,1.0,6.0,17.0,1.0,14.0,0.41,6.0,2.0,3.0,0.0,37,36,3084,17,4,14,3,3,9,0,1,1
8,Luis Abram,pe PER,DF,Granada,es La Liga,25,6.2,3.0,0.48,1.0,0.0,0.0,2.0,0.0,1.0,0.16,0.0,0.0,1.0,0.0,8,6,560,0,0,0,0,0,2,0,0,0
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,28.2,17.0,0.61,13.0,1.0,0.0,1.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,30,29,2536,4,0,4,0,0,2,1,0,0
10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,2.9,8.0,2.78,4.0,0.0,1.0,2.0,0.0,1.0,0.35,0.0,0.0,1.0,0.0,13,1,259,0,1,0,0,0,0,0,0,0
11,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10,0,0,0,0,0,0,0,0,0
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,25.1,75.0,2.99,48.0,19.0,2.0,3.0,0.0,3.0,0.12,1.0,0.0,0.0,0.0,31,26,2260,1,3,1,0,0,10,0,0,0
13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,22.7,51.0,2.25,32.0,0.0,2.0,4.0,2.0,5.0,0.22,3.0,1.0,0.0,1.0,30,23,2039,7,3,7,0,0,0,0,0,1
14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,15.0,26.0,1.73,23.0,1.0,1.0,1.0,0.0,4.0,0.27,4.0,0.0,0.0,0.0,24,12,1351,0,1,0,0,0,5,0,0,0
15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,3.7,11.0,2.98,8.0,0.0,2.0,0.0,1.0,1.0,0.27,1.0,0.0,0.0,0.0,13,2,331,1,0,1,0,0,0,0,0,0
16,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,3.9,10.0,2.56,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,352,0,0,0,0,0,1,0,0,0
17,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21,14.0,49.0,3.51,39.0,1.0,3.0,4.0,0.0,6.0,0.43,5.0,0.0,1.0,0.0,25,13,1256,3,2,3,0,0,3,0,0,0
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,25.1,121.0,4.82,81.0,22.0,6.0,3.0,4.0,18.0,0.72,13.0,1.0,0.0,0.0,36,25,2260,1,7,1,0,0,5,0,0,0
19,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,4.9,10.0,2.05,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,443,0,0,0,0,0,1,0,0,0
20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,7.4,23.0,3.1,14.0,0.0,2.0,2.0,0.0,2.0,0.27,1.0,1.0,0.0,0.0,17,6,668,2,0,2,0,0,5,1,1,0
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,18.0,32.0,1.78,25.0,3.0,2.0,0.0,0.0,3.0,0.17,2.0,1.0,0.0,0.0,24,17,1616,0,1,0,0,0,4,0,0,0
22,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,4.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,360,0,0,0,0,0,0,0,0,0
23,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,20.8,35.0,1.69,28.0,1.0,1.0,4.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,27,21,1868,0,0,0,0,0,6,0,0,0
24,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,13.7,40.0,2.91,22.0,0.0,6.0,4.0,4.0,3.0,0.22,1.0,0.0,0.0,2.0,23,12,1237,3,1,3,0,0,2,1,0,0
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,30.4,15.0,0.49,10.0,0.0,0.0,4.0,0.0,4.0,0.13,3.0,0.0,0.0,0.0,31,31,2735,2,2,2,0,0,3,1,0,0
